compound_id,full_smiles,donor_smiles,bridge_smiles,acceptor_smiles,core_smiles,C2,,,,
70,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C(Br)\C=C\N(CCCCCCC)CCCCCCC,[*:5]N(CCCCCCC)CCCCCCC,[*:1]=C/C([*:2])=C(Br)/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=C(Br)C=CO1)=O,O[*:2],,,,
71,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C(C2=CC=CC=C2)\C=C\N(CCCCCCC)CCCCCCC,[*:5]N(CCCCCCC)CCCCCCC,[*:1]=C/C([*:2])=C(C1=CC=CC=C1)/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=C(C2=CC=CC=C2)C=CO1)=O,O[*:2],,,,
72,OC(/C=C1C(C(C=CC=C2)=C2C/1=O)=O)=C(Br)\C=C\N3CCC4=C3C=CC(N(CCCCCCC)CCCCCCC)=C4,CCCCCCCN(CCCCCCC)C(C=C1)=CC2=C1N([*:5])CC2,[*:1]=C/C([*:2])=C(Br)/C=C/[*:5],[*:1]=C(C(C1=C2C=CC=C1)=O)C2=O,[H]C(C1=C(Br)C=CO1)=O,O[*:2],,,,
73,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N2CCC3=C2C=CC=C3,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
74,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C(C)\N2CCC3=C2C=CC=C3,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C(C)/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=C(C)O1)=O,O[*:2],,,,
75,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(C)C,[*:5]N(C)C,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
76,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CC)C,[*:5]N(C)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
77,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CCCC)C,[*:5]N(C)CCCC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
78,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CCC2=CC=CC=C2)C,[*:5]N(C)CCC1=CC=CC=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
79,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
80,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CCC)CCC,[*:5]N(CCC)CCC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
81,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CCCCCCCC)CCCCCCCC,[*:5]N(CCCCCCCC)CCCCCCCC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
82,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CC(C)C)CC(C)C,[*:5]N(CC(C)C)CC(C)C,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
83,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CC2=CC=CC=C2)C,[*:5]N(C)CC1=CC=CC=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
84,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CC2=CC=CC=C2)CC,[*:5]N(CC)CC1=CC=CC=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
85,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CCC(C=CC=C3)=C3C2,[*:5]N1CCC(C=CC=C2)=C2C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
86,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CCCC2,[*:5]N1CCCC1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
87,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CCCCC2,[*:5]N1CCCCC1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
88,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(C2=CC=C(OC)C=C2)C,[*:5]N(C)C1=CC=C(OC)C=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
89,OC(/C=C1C(N(CC)C(N(CC)C/1=O)=S)=O)=C\C=C\N2C(C)CC3=C2C=CC=C3,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1CC)=O)=[*:1])N(CC)C1=S,[H]C(C1=CC=CO1)=O,O[*:2],,,,
90,OC(/C=C1C(N(CC)C(N(CC)C/1=O)=S)=O)=C\C=C\N2CCC3=C2C=CC(OC)=C3,[*:5]N1CCC2=C1C=CC(OC)=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1CC)=O)=[*:1])N(CC)C1=S,[H]C(C1=CC=CO1)=O,O[*:2],,,,
91,OC(/C=C1C(N(CC)C(N(CC)C/1=O)=S)=O)=C\C=C\N2CCC3=C2C=CC(N(CCCCCCC)CCCCCCC)=C3,[*:5]N1CCC2=C1C=CC(N(CCCCCCC)CCCCCCC)=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1CC)=O)=[*:1])N(CC)C1=S,[H]C(C1=CC=CO1)=O,O[*:2],,,,
92,OC(/C=C1C(N(C2=CC=CC=C2)N=C/1C(F)(F)F)=O)=C\C=C\N3C(C)CC4=C3C=CC=C4,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],[*:1]=C1C(N(C2=CC=CC=C2)N=C1C(F)(F)F)=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
