compound_id,full_smiles,donor_smiles,bridge_smiles,acceptor_smiles,core_smiles,C2,,,,
25,OC(/C=C1C(C)=C(C#N)C(N(CCCC)C/1=O)=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(C)=C1C#N)=[*:1])N(CCCC)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
26,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N(C)C2=CC=C(Cl)C=C2,ClC1=CC=C(N(C)[*:5])C=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
27,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N2C(C=CC=C3)=C3CCC2,[*:5]N1C(C=CC=C2)=C2CCC1,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
28,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N2C(C=CC(OC)=C3)=C3CC2,[*:5]N1C(C=CC(OC)=C2)=C2CC1,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
29,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N2CCC3=C2C=CC(N(CCCCCCC)CCCCCCC)=C3,CCCCCCCN(CCCCCCC)C(C=C1)=CC2=C1N([*:5])CC2,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
30,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(C)C2=CC=CC=C2,[*:5]N(C)C1=CC=CC=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
31,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CCCC3=C2C=CC=C3,[*:5]N1C2=C(C=CC=C2)CCC1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
32,O=C(/C(C(N1CCCCCC)=O)=C\C(O)=C\C=C\N2CCC3=C2C=CC(OC)=C3)N(CCCCCCCC)C1=O,[*:5]N1C2=C(C=C(OC)C=C2)CC1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1CCCCCCCC)=O)=[*:1])N(CCCCCC)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
33,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CCC3=C2C=CC(N(CCCCCCC)CCCCCCC)=C3,CCCCCCCN(CCCCCCC)C(C=C1)=CC2=C1N([*:5])CC2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
34,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CCC3=C2C=CC(C4=CC=C(OC)C=C4)=C3,COC(C=C1)=CC=C1C(C=C2)=CC3=C2N([*:5])CC3,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
35,OC(/C=C1C(C(F)(F)F)=NN(C2=CC=CC=C2)C/1=O)=C\C=C\N3CCC4=C3C=CC(C5=CC=C(OC)C=C5)=C4,COC(C=C1)=CC=C1C(C=C2)=CC3=C2N([*:5])CC3,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1N(C2=CC=CC=C2)N=C(C(F)(F)F)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
36,OC(/C=C1C(C)=NOC/1=O)=C\C=C\N2CCC3=C2C=CC(C4=CC=C(OC)C=C4)=C3,COC(C=C1)=CC=C1C(C=C2)=CC3=C2N([*:5])CC3,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1ON=C(C)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
37,OC(/C=C1C(C(F)(F)F)=NOC/1=O)=C\C=C\N2CCC3=C2C=CC(C4=CC=C(OC)C=C4)=C3,COC(C=C1)=CC=C1C(C=C2)=CC3=C2N([*:5])CC3,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1ON=C(C(F)(F)F)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
38,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(Br)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(Br)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(Br)C=C1)=O,,,,
39,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CCC3=C2C=CC=C3,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
